Review,Rating,Thumbs Up Count,Review Date
Sangat membantu,5,0,2024-10-21 12:28:25
Aplikasi yang sangat membantu sekali,5,0,2024-10-21 12:27:39
Mari bersama2 pindah menggunakan grab sebab ini aplikasi sudah tidak berguna.,1,0,2024-10-21 12:25:32
beli paket pakai gopay berhasil tp paket internet ga nyampe perusahaan gojek sarat korupsi anjay,1,0,2024-10-21 12:00:31
Mantappp,5,0,2024-10-21 12:00:13
Gojek is the best pokoknya dah,5,0,2024-10-21 11:55:05
Ok banget,5,0,2024-10-21 11:54:13
akurat,5,0,2024-10-21 11:53:19
Sukaaa banget.. banyak banget promo nya.. sangat membantu sekali,5,0,2024-10-21 11:30:27
"Sebenernya saya suka karena pakai gofood tapi kok tau2 saya dihubungi pihak license gopay pinjam. Saya tidak pernah memakai bahkan daftar gopay pinjam pun tidak pernah tau-tau ditagih, mana nagihnya bikin kaget pula tau2 spam. Saya menyesal memakai gojek. Saya segera unnistall setelah masalah selesai",1,0,2024-10-21 11:28:56
Well Ahh,5,0,2024-10-21 11:22:48
"The first time i downloaded this app, i gave you 5stars. Second I gave you 4. Lately, I drop it too 1 star so sick of this app. Lately I didn't use this app and sometimes my app giving me a notification that i order using go food service, then double order ride, and now a false order again on go mart. The Heck. I dont want to install it anymore. You betray my trust.",1,1,2024-10-21 11:13:21
"Bagus banyak promo, banyak vocher juga. Tp semakin sering pake semakin mahal itupun jaraknya sama gak berubah",5,0,2024-10-21 11:04:04
Aku suka gojek,1,0,2024-10-21 10:59:24
Sangat membantu 🙏🤗,5,0,2024-10-21 10:47:50
Gojek selalu membantu saya,5,0,2024-10-21 10:38:57
semenjak ada Gojek serba mudah dan kita tepat waktu saat di butukan kita bisa cepet kita bisa pergi jln kemna aja siap di anter. klou dileper meyenangan menarik penupang amn dan gak augal ugalan menarik penumpang baggus.,3,0,2024-10-21 10:38:33
pelayanan excelence,5,0,2024-10-21 10:18:36
Tolong dong yang sering lawan arah tu di pecat bahaya kali,1,0,2024-10-21 09:59:38
